,1,0
GO:0048269,1,0
 GO:1904237,2,1
GO:0008180,1,0
 GO:0000187,4,0
 GO:0000184,2,0
 GO:0032287,2,0
 GO:0071559,1,0
 GO:0008210,1,0
GO:0000166,1,0
 GO:0090559,1,0
 GO:0009253,1,0
 GO:0090004,3,0
 GO:0090557,2,0
 GO:0090002,5,0
 GO:0051585,1,0
 GO:0018158,2,0
 GO:0031532,8,0
 GO:0044207,1,0
 GO:0071354,1,0
 GO:0071353,3,0
 GO:0000165,1,0
 GO:0000166,25,0
 GO:0031589,3,0
 GO:0001963,1,0
 GO:0001961,1,0
 GO:0032139,1,0
 GO:0000980,3,0
 GO:0001968,3,1
 GO:0008035,1,0
 GO:0051117,6,0
 GO:0043536,1,0
 GO:0044849,1,0
 GO:0043532,1,0
 GO:0043531,3,0
 GO:0000502,12,0
 GO:0015091,1,0
 GO:0043539,1,0
 GO:0051622,1,0
 GO:0016810,1,0
 GO:0043312,1,0
 GO:0009749,2,0
 GO:1901838,1,0
 GO:0071774,1,0
 GO:0071773,1,0
GO:0016607,3,0
 GO:0015701,1,0
 GO:0006909,3,0
 GO:0006904,1,0
 GO:0006907,1,0
 GO:0006900,1,0
 GO:0005637,1,0
 GO:0055072,3,0
 GO:0048008,1,0
 GO:0009106,1,0
 GO:0009100,1,0
 GO:0060347,1,0
 GO:0051246,1,0
 GO:0043000,1,0
 GO:0043001,1,0
 GO:0032729,1,0
 GO:0043005,5,0
 GO:0032727,1,0
 GO:0043008,1,0
 GO:0032720,1,0
 GO:0010737,1,0
 GO:0017091,2,0
 GO:0007528,4,0
 GO:0002842,1,0
 GO:0007520,1,0
 GO:0008615,1,0
 GO:0008344,4,0
 GO:0008347,2,0
 GO:0006122,1,1
 GO:0007017,1,0
 GO:0006120,1,0
 GO:0008097,2,0
 GO:0030016,2,0
 GO:0017148,5,0
 GO:0006509,1,0
 GO:0016853,3,0
 GO:0017145,1,0
 GO:0021680,2,0
 GO:0007010,4,0
 GO:0032432,1,0
 GO:0019226,3,0
 GO:0019221,1,0
 GO:0032436,1,0
 GO:0032435,1,0
 GO:0032434,1,0
 GO:0097454,1,0
 GO:0071000,1,0
 GO:0021510,1,0
 GO:0019228,1,0
 GO:0005901,2,0
 GO:0005903,7,0
 GO:0005902,5,0
 GO:0005905,4,0
 GO:0055102,1,0
 GO:0000054,1,0
GO:0071013,7,0
 GO:0047496,1,0
 GO:0042448,1,0
 GO:0002026,2,0
 GO:0046784,1,0
 GO:0002024,1,0
GO:0005913,2,0
GO:0005912,2,0
 GO:0002021,1,0
 GO:0002020,5,0
 GO:0010628,11,1
 GO:0005697,1,0
 GO:0002028,2,0
 GO:1900122,1,0
 GO:0046010,1,0
 GO:0033093,1,0
